;Локальная тема;Описание
35;Ожидание врача-терапевта по вызову на дом более суток;После приезда скорой помощи 01.08.2020 к инвалиду 1 группы должен был прийти врач из поликлиники на дом. Позвонили из поликлиники - мы подтвердили вызов врача на дом. Врача 01.08 - 03.08 не дождались. Соцработник повторно вызвала врача на дом 04.08.2020. Врача до сих пор нет.
36;Неисправность/недоступность инфраструктуры для маломобильных граждан;При очередном обращении в травмпункт при поликлинике №175 филиал 2 выяснилось, что грузовой лифт, предназначенный для перемещения маломобильных больных с травмами к кабинету рентгенографии на замке , а лифтер уволен. Травмпункт находится на 1 этаже поликлиники, а кабинет рентгенографии на 4. Больные сами подняться на 4 этаж не могут. Верните лифера
37;Ожидание приема врача в поликлинике по предварительной самозаписи более часа;03.08.2020 Была записана на прием в поликлинику к Кубышевой Алевтине Ивановне на 17.45. В кабинет попала в 19.50. На приеме на мой вопрос о заболевании врач посоветовала мне поискать информацию в интернете. Считаю недопустимым такое обращение персонала к гражданам, прошу прореагировать 
38;Неисправность/недоступность инфраструктуры для маломобильных граждан;Уже 2 года с ребенком ходит в эту поликлинику и лестница в таком состоянии
39;Неисправность/недоступность инфраструктуры для маломобильных граждан;Лифт не работает уже несколько месяцев. Мне с маленькой дочкой приходится подниматься по лестнице, а на руках носить ее не могу, так как беременна.
40;Отсутствие уведомления/не обеспечена запись к врачу при отмене приема по инициативе поликлиники;Я был записан к врачу Филатову В.А. на 5 августа на 19-45. Сегодня при проверке сообщений на портале ГОСУСЛУГИ узнал, что запись отменена. Со стороны сотрудников поликлиники не было ни уведомлений об отмене, ни предложений замены и альтернативной записи к другому врачу.
41;Отсутствие возможности записи к врачу;Сегодня хотел записаться к врачу на любую дату будь то 3е число четвёртое и так далее ни на одной из этих чисел нет возможности записи к терапевту. Мне не обязательно было именно в моей поликлинике которые находятся у меня на улице мне достаточно было в любой из поликлиник ДЦ5, но ни к одному врачу нет возможности записаться онлайн
42;Отсутствие возможности записи к врачу;Нет возможности попасть к своему участковому врачу Учаева Л.Г. Ребёнку 1 месяц и нет прививок, через портал госуслуги записаться невозможно, При звонке в справочную говорят что у врача нет Записи а потом она уходит в отпуск, вопрос зачем участковый врач если к ней невозможно записаться. 
43;Отсутствие уведомления/не обеспечена запись к врачу при отмене приема по инициативе поликлиники;Моя запись к Антошиной Е.В. на 07.08 на 12:00 была аннулирована самовольно врачом. Об этом я не была уведомлена никоим образом, альтернативного варианта записи на эту дату нет, но мне нужно попасть на прием не позднее 7.08, чтобы получить справку об эпидемиологическом окружении, 10.08 я улетаю в Сочи. мне не предложили никаких альтернатив.чтоделать
44;Ожидание приема врача в поликлинике по предварительной самозаписи более часа;Очень медленная работа врача, два пациента перед нами принимали по 30 минут и это в период коронавируса - свинство. Другие врачи при этом были свободны и спокойно ходили пр своим делам.
