;Локальная тема;Описание
192;Ненадлежащий уход за зелеными насаждениями во дворе;
193;Неисправность элементов освещения во дворе;
194;Некачественное содержание детской площадки;Забор детской плащадки не покрашен в этом году. Облез.
195;Ненадлежащий уход за зелеными насаждениями во дворе;Стоит дерево уже давно в таком состоянии. Также принять меры к лицам которые довели данную ситуацию до такого состояния, а именно сотрудникам Департамента природопользования, Управы района Аэропорт и лицам организовавшим такое безобразие. 
196;Ненадлежащий уход за зелеными насаждениями во дворе;
197;Неисправность элементов освещения во дворе;
198;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Просела земля со стороны дороги по данному адресу.
199;Повреждение дорожного покрытия во дворе (ямы, выбоины, провалы);Подъезд 1,торец дома. На внутридомовом проезде, ямы,выбоины Требую исправить дорожное покрытие.
200;Ненадлежащий уход за зелеными насаждениями во дворе;Требуется удалить пни с дворовой территории.
201;Ненадлежащий уход за зелеными насаждениями во дворе;
202;Неубранная контейнерная площадка/переполнение контейнеров;
203;Ненадлежащий уход за зелеными насаждениями во дворе;
204;Ненадлежащий уход за зелеными насаждениями во дворе;
205;Ненадлежащий уход за зелеными насаждениями во дворе;За байпасом находится территория дома. Заброшенная и неухоженная
206;Ненадлежащий уход за зелеными насаждениями во дворе;
207;Ненадлежащий уход за зелеными насаждениями во дворе;В ужасном состоянии дерево. Просьба принять меры. Также принять меры к сотрудникам Департамента природопользования , Управы Аэропорт и к лицам которые довели ситуацию с деревьями до такого состояния. Деревьями у нас никто не занимается, безопасности людей нет, деревья гниют от зарослей. Если дальше так пойдет у нас сгниют все деревья во дворе.
208;Ненадлежащий уход за зелеными насаждениями во дворе;
209;Ненадлежащий уход за зелеными насаждениями во дворе;Тропку так и не рекультивировали.
210;Ненадлежащий уход за зелеными насаждениями во дворе;Срок всхода газонной травы заканчивается, а трава так и не всходит.
211;Неубранная дворовая территория;Дворовая территория не подметена.
212;Неубранная дворовая территория;Мусор возле дома.
213;Неубранная дворовая территория;Мусором завален весь двор!!!
214;Некачественное содержание детской площадки;У качелей нет амортизаторов и они портят покрытие площадки
