;Локальная тема;Описание
74;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;В чем смысл перекапывания тропинок, если и на старых тропинках трава не растет и рядом новые вытаптввт? Выходит, что травы стадо еще меньше чем было!
75;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
76;Реклама на дорожном покрытии;Реклама на тротуаре
77;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
78;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Выпирает люк и вокруг него повреждено покрытие.
79;Стертая дорожная разметка;Стертая разметка «зебра» 
80;Реклама на дорожном покрытии;Реклама на тротуаре.
81;Поврежденные/неправильно установленные дорожные знаки;Табличка на Самотечной улице у дома 1/15 (по Садовой-Самотечной) висит на уровне лица пешеходов — перегораживает четверть и без того неширокого тротуара. 
82;Нечитаемые дорожные знаки;Обзор знака затруднен из-за зеленых насаждений.
83;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просадка.
84;Ямы на трамвайных путях;На улице Достоевского на перекрестке с переулком Чернышевского сместились рельсы на стыке правого (при следовании в сторону Каланчевской) пути. Сам путь в месте стыка просел — образовалась небольшая ямка. В итоге при проезде трамвая происходит сильный удар. 
85;Неубранная проезжая часть/тротуар;Грязь на проезжей части можно убирать лопатой. Годами не убирается грязь, слой настолько толстый, что видны засохшие следы от протекторов шин автомобилей.
86;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Для чего нужно было снимать слой грунта год назад!? Что ты изуродовать всё!? Вот он, результат идиотизма!
87;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Провал проезжей части!!! Чуть не пробил колесо!!! Примите меры!!!
88;Поврежденные дорожные ограждения;У остановки разрушена часть ограждения. Будьте любезны, восстановите! 
89;Реклама на дорожном покрытии;Реклама наппотив рынка барс
90;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просьба установить уплотнительную резинку на колодец, чтобы крышка люка была на одном уровне с асфальтом, так как в данный момент люк утоплен! Трогать колодец не надо !
91;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
92;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
93;Нечитаемые дорожные знаки;Нечитаемый знак из-за зеленых насаждений.
94;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просел люк канализации
95;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
96;Нечитаемые дорожные знаки;
97;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Большая яма на путях
98;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);На проезжей части ямы да выбоины
99;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
100;Стертая дорожная разметка;Стертая разметка
101;Наличие опасно выступающих элементов на проезжей части/тротуаре;
102;Нечитаемые дорожные знаки;Нечитаемый знак из-за зеленых насаждений.
103;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);На проезжей части образовались ямы.
104;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Покрытие тротуара требует ремонта
105;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
106;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просадка люка
107;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просьба внимательно ознакомиться : данный люк делали несколько раз , и делали его ГБУ Жилищник или автомобильные дороги! В конечном итоге как была сильная просадка так и осталась! Если данный люк является бесхозным ,просьба его законсервировать , и не делать проблемы!
108;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
109;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы)
110;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма на тротуаре
111;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Проблема не решена
112;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
113;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы)
114;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы)
115;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);На проезжей части ямы да выбоины
116;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Вдоль трамвайных путей провал грунта и асфальта
117;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Водосток на тротуаре забит и частично требует ремонта
118;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
119;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
120;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Разрушается конструкция. Рядом с церковью Льва.
121;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Засыхает травяной покров без уходных мероприятий
122;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы на проезжей части
123;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Не закрыт люк. Рядом с церковью Льва.
124;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
125;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Добрый день!Огромные ямы в третьем и втором рядах справа.Прошу устранить.Спасибо
126;Неисправность элементов освещения на проезжей части/тротуаре;Моргает фонарь
127;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
128;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
129;Некачественная укладка плитки на тротуаре;Плиточное покрытие на тротуаре требует ремонта
130;Нечитаемые дорожные знаки;Нечитаемые знаки из-за зеленых насаждений.
131;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Перекресток улиц Челюскинской и Малыгина. Крышка люка сдвинута.
132;Наличие опасно выступающих элементов на проезжей части/тротуаре;
133;Некачественная укладка плитки на тротуаре;Плиточное покрытие тротуара требует ремонта
134;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Яма на проезжей части
135;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Дерево спилили, а пенек оставили
136;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Провал проезжей части! Примите пожалуйста меры!!!
137;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Во время работ по прокладке туннеля для бкл часть улицы Газгольдерная была перекрыта, были устроены объездные пути. После завершения работ уже прошло несколько месяцев, а восстановления благоустройства и тротуаров не проводится. Прошу принять меры.
138;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
139;Брошенный разукомплектованный автомобиль на проезжей части;Автомобиль находится на выезде из дворовой территории между домов 12к1 и д.13. Без движения находится более полугода
140;Поврежденные/неправильно установленные дорожные знаки;Добрый день! Повреждён дорожный знак, а именно повреждение нанесли рабочии службы которые устанавливают новые бордюры, все знаки на стороне дублера Проспекта Защитников Москвы повреждены. При развороте дорожные знаки трактор ломает видел лично. Прошу разобраться в данной ситуации и так же в компетенции данных рабочих служб за порчу дорожных знаков
141;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы.
142;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Провал плавный , но в машине очень сильно чувствуется 
143;Неубранная проезжая часть/тротуар;На протяжении месяца на люке канализации на вылетной дороге на Бесединское шоссе не убраны деревянные ограждения, из-за которых может создаться аварийная ситуация
144;Повреждение бордюров на проезжей части/тротуаре;Разрушения бортового камня
145;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);ПОВТОРНОЕ ОБРАЩЕНИЕ!Провал асфальта на тротуаре!Травмоопасно!55.7436167 37.7215361
146;Неубранная проезжая часть/тротуар;
147;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Шесть открытых люков колодцев. Бесединское шоссе напротив здания многоуровневого гаражного комплекса.
148;Поврежденные/неправильно установленные дорожные знаки;Желательно, как можно быстрее..
149;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на тротуаре! Травмоопасно!55.7409583 37.7214278
150;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия !55.7404278 37.7212778
151;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Лескова, 8 - около перехода
152;Неубранная проезжая часть/тротуар;Надземный переход над ТТК в сторону центра ст МЦК Угрешская. Очень грязно. Не убирались полгода.
153;Повреждение бордюров на проезжей части/тротуаре;Повреждение бордюров! Бортовой камень имеет сколы глубиной более 3-х см. Нарушение ГОСТ Р 50597-93.Замена. Устраните нарушение!55.7415472 37.7215361
154;Неисправный светофор;Светофор на пересечении 1 Котельнического переулка не переключается на зеленый для траспорта
155;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
156;Поврежденные дорожные ограждения;Антипарковочная полусфера на пересечении улиц Булатниковская и Востряковский проезд повреждена и сдвинута со своего места.
157;Неисправность элементов освещения на проезжей части/тротуаре;При движении в Москву, мерцает фонарь освещения. Замените
158;Реклама на дорожном покрытии;Реклама
159;Реклама на дорожном покрытии;Реклама
160;Некачественная укладка плитки на тротуаре;Отсутствует плитка на дорожке. Восстановите пожалуйста плитку
161;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
162;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
163;Повреждение лестницы на тротуаре;
164;Неисправность элементов освещения на проезжей части/тротуаре;ВОткнули два фонарных столба без фонарей.
165;Стертая дорожная разметка;
166;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;По адресу: Перовский проезд, 6с1, у тополя на углу Подъемной улицы и Перовского проезда приствольное пространство не соответствует нормам - с южной стороны дерева остался старый асфальт, который сокращает положенное дереву незапечатанное пространство. Прошу его убрать аккуратно, не повреждая ствол и корни. Спасибо!
167;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
168;Просадка люка/Незакрытый люк на проезжей части/тротуаре;На тротуаре, перед мостом, недалеко от торгового центра.
169;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Нужно ликвидировать дерево 
170;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;"Полностью вытоптанный газон на тротуаре напротив входа в Сбербанк по адресу Большая Грузинская, д.12 После того, как убрали заборчики вокруг газонов, эта история с вытоптанным газоном стала регулярной. Все идут в Сбербанк прямо по газону, ""срезая"" путь... После восстановления газона поставьте хотя бы табличку ""просьба по газону не ходить"""
171;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы)
172;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Нужна санитарная обрезка сухих ветвей 
173;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Живое дерево ! Просьба полностью не срезать, а лишь обрезать сухие ветви 
174;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ливневые решетки выгнуты на тротуаре 
175;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Просадка люка проезжей части 
176;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Газон должен иметь целостный травяной покров, не должно быть вытоптанных, заезженных, уничтоженных участков газона.,равяной покров газона утрачен, должны быть своевременно выполнены работы по его ремонту или восстановлению.
177;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Нужно убрать сухое дерево вместе с пнём 
178;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Нужна санитарная обрезка сухих ветвей 
179;Просадка люка/Незакрытый люк на проезжей части/тротуаре;По направлению в сторону центра в правой полосе просел люк.
180;Наличие опасно выступающих элементов на проезжей части/тротуаре;Из тротуара торчат обрезки труб.
181;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
182;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;
183;Наличие опасно выступающих элементов на проезжей части/тротуаре;
184;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы и просевшие заплатки около въезда на парковку ТЦ.
185;Наличие опасно выступающих элементов на проезжей части/тротуаре;
186;Подтопление на проезжей части/тротуаре;
187;Неисправность элементов освещения на проезжей части/тротуаре;Не горит фонарь уличного освещения на проезжей части со стороны д.15
188;Повреждение бордюров на проезжей части/тротуаре;Пропал бордюр около дома 60 , ш б. 
189;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Яма на проезжей части 
190;Некачественная укладка плитки на тротуаре;Нужен ремонт плитки 
191;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Вдоль дороги отсутствует газон.
192;Просадка люка/Незакрытый люк на проезжей части/тротуаре;Под колесами проезжающих автомобилей хлопает крышка люка канализационного колодца на проезжей части пешеходного перехода 
193;Неубранная проезжая часть/тротуар;Проход от М. Ордынке к Б. Ордынке не убирается. 
194;Некачественная укладка плитки на тротуаре;От дома 15 до дома 41 плитка тротуарная во многих местах провалена. А в дожди в провалах лужи стоят.
195;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Газон должен иметь целостный травяной покров, не должно быть вытоптанных, заезженных, уничтоженных участков газона, травяной покров газона утрачен, должны быть своевременно выполнены работы по его ремонту или восстановлению.
196;Неубранная проезжая часть/тротуар;Переполненная урна и мелкий мусор вокруг на пешеходном тротуаре вдоль д.6
197;Некачественная укладка плитки на тротуаре;Плитка просела 
198;Поврежденные/неправильно установленные дорожные знаки;Около перекрёстка с ул. Олений Вал погнута стойка со знаками.
199;Неубранная проезжая часть/тротуар;территория у стр. 44 не убирается долгое время.
200;Некачественная укладка плитки на тротуаре;Тротуарная плитка должна соответствовать требованиям безопасности и находиться в нормативном состоянии.
201;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Вытоптанный газон , ш б. 
202;Противоречия при установке дорожных знаков;"На эстакаде, соединяющей Ленинградский проспект и ТТК (внутр. сторону) установлен знак ""Направления движения по полосам"", который противоречит новой разметке."
203;Неубранная проезжая часть/тротуар;Какие то «умные» люди разрисовали бордюр 
204;Повреждение дорожного покрытия на проезжей части/тротуаре (ямы, выбоины, провалы);Ямы на эстакаде, соединяющей Ленинградский проспект и ТТК.
205;Повреждение бордюров на проезжей части/тротуаре;Каждый элемент объекта дорожного хозяйства (проезжая часть, тротуары, парковки) должен содержаться в надлежащем состоянии. На дороге не должно быть поврежденных или поваленных бордюрных камней.
206;Ненадлежащий уход за зелеными насаждениями на проезжей части/тротуаре;Отсутствует санитарная обрезка сухих ветвей 
