;Локальная тема;Описание
22;Несанкционированные объявления, надписи и рисунки в подъезде;Вновь УК Гбу Жилищник обклеила почтовые ящики неотдираемыми наклейками и испортила имущество собственников. Жители уже писали о незаконных вандальных действиях в начале августа, УК снова нарушает закон, Просьба принять меры к начальнику участка за повторное нарушение.
23;Некачественный текущий ремонт;Добрый день. Прошу исправите неподобающий вид. При том, что общий ремонт подъезда был осуществлён подоконники оставлены в такой виде. Нет желания совершенно выносить туда растения. Ужас.
24;Некачественный текущий ремонт;Замену старых образцов ламп на новые сделали не везде. На 1 этаже 2-го подъезда остались 2 лампы старого образца.
25;Некачественное содержание/неисправность лифта;Не работает лифт (застрял на 8 этаже) в 1 подъезде 
26;Неисправность элементов освещения;Не работает освещение. Постоянно приходится тыкать носом Жилищник в эти перегоревшие лампочки, хоть раз бы сами прошлись проверили!
27;Неубранный подъезд;Просьба отремонтировать и покрасить стены на 1, 2, 3, 4, 5, 8 этажах, а также между ними.
28;Некачественное содержание/неисправность лифта;Вандальное графите. 
29;Неисправность/повреждение входной двери/домофона;Плохо закрывается входная дверь, и ее перекосило
30;Неубранный карниз над подъездом;Мусор и окурки на козырьке подъезда №4
31;Неисправность элементов освещения;Перегорела лампочка в светильнике на площадке второго этажа. Пожалуйста установите лампочку теплого (желтого) света.
32;Неубранный подъезд;На лестничной клетке второго этажа опять все обсажено. Никто не убирает, хотя заявляют что подъезд убирают чуть ли не раз в две недели. 
33;Неисправность элементов освещения;
34;Незаконное проживание мигрантов в местах общего пользования многоквартирного дома;В подвале дома проживает большое количество мигрантов, подвал постоянно открыт, в подъезде познает едой, в квартирах на первом этаже полчища тараканов, для сохранения тепла жителями подавали заколочены продухи в следствии чего естественная вентиляция подвала невозможна. Просьба разобраться в сложившейся ситуации.
35;Некачественный текущий ремонт;"Продолжение к сообщению 27812802. 1) После ""восстановления"" окрасочного слоя панели вызова (качество см.фото) на 1 этаже вторые сутки оставлена открытая краска, что не только нарушает правила противопожарной безопасности, но и заполняет едким запахом весь подъезд. 2) Лифт на 1 этаже в состоянии ожидания стоит с открытыми дверями."
36;Некачественное содержание подвальных и чердачных помещений;
37;Неубранный подъезд;Пора вымыть стены и полы с 14 по 1 этаж. КАЧЕСТВЕННО. А НЕ КАК ОБЫЧНО РАЗМАЗАТЬ ГРЯЗЬ. летают Мухи. Запах грызи и фикалий
38;Некачественный текущий ремонт;
39;Неисправность/повреждение входной двери/домофона;Дверь входная три штуки. Не работают как должны. Просьба исправить это. И заварить верхний Часть чтобы никто не срывал их. И открывались как положено. Так как каждый второй пытается их отсоединить. И так как они электрические они начинают глючить и пытаются открыться впустую.
40;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;Нет горячей воды, должны были включить вчера. В половине дома есть, а в половине нет. На жалобы по телефону не реагируют
41;Неисправность элементов освещения;
42;Поврежденный козырек подъезда;Добрый день. Прошу вас произвести мероприятия по герметизации кровли (козырька) подъезда № 5 по адресу: ул. Лермонтовский проспект, д. 2 корп. 1. На фото видно видны следы протечек. Также прошу произвести работы по восстановлению окрасочного слоя после залива с кровли (козырька). Фото прилагаю. 
43;Неисправность/повреждение входной двери/домофона;Короткий доводчик. Нет возможности открыть дверь широко. Постоянно отрывается. СДЕЛАЙТЕ НОРМАЛЬНЫЙ ДОВОДЧИК И ДВЕРЬ!
44;Ненадлежащее выполнение работ по капитальному ремонту в доме;Водосток не сделан-ржавый и с дырами горизонтальный желоб водостока так и оставили на месте
45;Неисправность элементов освещения;На лифтовой площадке 8-го этажа, плафон висит на проводах. 
46;Неубранный карниз над подъездом;На козырьке входа в наш подъезд мусор лежит уже давно, не убирают, сейчас ещё добавился труп птиц и еда, обслуживающая компания не следит за чистотой, за что мы им платим деньги ? 
47;Некачественное содержание мусоропровода;Мусорпровод засорен уже три дня. Уже ваняет.
48;Некачественный текущий ремонт;Облупилась краска, некачественно сделали в прошлом году при предыдущем обращении. Спустя 7-8 месяцев после предыдущего обращения проблема проявилась вновь, что говорит о нарушениях в технике проведения ремонтных работ. Исправить это необходимо по гарантийного обслуживанию, поскольку предыдущий ремонт не был качественный
49;Незаконное проживание мигрантов в местах общего пользования многоквартирного дома;Комната консержки 1 этаж 4 подъезд .
50;Поврежденные лестницы;Прошу привести в надлежащее состояние
51;Некачественный текущий ремонт;1 подъезд. После покраски остались следы от протечек. На фото 2, 6, 8 и 9 этажи.
52;Неубранный подъезд;Добрый день. Просьба регулярно проводить уборку в подъезде по ул.Подъемная д 6Б (все этажи). Никакая санитарная обработка не проводится. Полы вообще не видела, чтобы мыли. Весь подъезд в плевках и разводах!!!
53;Протечка в подъезде;Затапливает подъезд каждый день, коммунальщики бездействуют, проблему решить не могут.
54;Поврежденные лестницы;Тяп ляп сделано, оступиться на такой лестнице очень просто.
55;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Добрый день. Подъезд №4. Полностью разбилась плитка при входе в подъезд, люди спотыкаются,детские коляски застревают. Так же разбита плитка около входа в лифт. Просим исправить. Спасибо.
56;Некачественное содержание/неисправность лифта;Кнопка вызова лифта на 13м этаже не закреплена на стене. Болтается на проводах в стене.
57;Поврежденные лестницы;Требуется ЗАМЕНА ПЛИТКИ!
58;Неисправность/повреждение входной двери/домофона;Не работает доводчик и магнит на входной двери со стороны Ломоносовского проспекта. Подъезд 9. Просьба исправить.
59;Неисправность/повреждение входной двери/домофона;Неисправен автодоводчик внешней, уличной двери.
60;Неисправность/повреждение входной двери/домофона;Трубки не открываю дверь
61;Поврежденный козырек подъезда;сильно поврежден козырек - необходим скорейший ремонт
62;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;отсутствует стекло в балконной двери 
63;Неубранный подъезд;В нашем доме, во втором подъезде, не убирается лестничные прилеты на всех этажах, а именно: валяются окурки, жестяные банки, фекалии , уличная грязь. Срочно приведите в лестничные прилеты в нормальное санитарное состояние и требуем соблюдать график уборки их, согласно нормативам ЖКХ (два раза в неделю сухая уборка веником и два раза в месяц влажная
64;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;Дверь не открывается полностью, необходимо отрегулировать (подпилить рубанком нижнюю кромку) для полного открытия.
65;Неубранный подъезд;Грязные полы в подъезде и лифте 
66;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Прошу по всему периметру дома, привести отместку в надлежащее состояние.
67;Неисправность/повреждение дверей в местах общего пользования многоквартирного дома;Не работает замок (не закрывается) двери, находящейся со стороны второго подъезда (вход на лестницу). Замок должен защелкиваться и блокировать дверь. Из за свободного доступа на лестничный пролет скапливается мусор, валяются фекалии и объедки от посторонних лиц.
68;Неубранный подъезд;Подъезд находится в плачевном состоянии , плохая уборка и содержание дома 
69;Некачественное содержание мусоропровода;3 подъезд 11 этаж
70;Неисправность элементов освещения;Отражатель упал на пол. Сделали заявку через диспетчера, пришёл мастер и примотал на проволоку. Просьба прикрепить нормально.
71;Некачественное содержание/неисправность лифта;Поломка кнопки в маленьком лифте
72;Некачественное содержание/неисправность лифта;Малый лифт во 2 подъезде находится в неудовлетворительном санитарном состоянии. Стены кабины уже более 3 недель запачканы и ободраны. Убедительная просьба провести влажную уборку лифта.
73;Некачественный текущий ремонт;Сотрудники управляющей организации в рамках текущего ремонта 21.08 халтурно тяп-ляп приклеили наклейки на пожарные щиты и над дверями выхода на пожарные лестницы. Т.к. делали некачественно: не оттерев от пыли и не обезжирив поверхности, спустя пару часов наклейки «пож.годрант», предсказуемо отклеились и попадали на пол а наклейки «выход» сползли
74;Некачественный текущий ремонт;Почтовые ящики повешаны криво. На первом этаже торчит железка из ступеньки (слева, если заходить в подъезд), можно наступить
75;Неисправность элементов освещения;Перегорела лампа освещения в холле квартир.
76;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;
77;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Незашпатлеваны и не покрашены сколы от монтажа переговорного устройства, прошу зашпатлевать и покрасить.
78;Поврежденные лестницы;Требуется установить надежное (!) ограждение на лестнице, ведущей на технический этаж. Исключить проникновение посторонних лиц на верхние лестничные пролёты и площадки. 
79;Поврежденные лестницы;Грязные и сколотые элементы входной группы, прошу все зачистить, ровно заштукатурить и покрасить.
80;Неубранный подъезд;В подъезде навалы мусора, вонь, подъезд не моется! Требую навести порядок, вымыть подезд, убрать мусор!!!!
81;Неубранный подъезд;Добрый день, Некачественно производится уборка подъезда, вообще не очень понятно убирается ли подъезд и сколько раз в неделю ! Прошу всё-таки убрать нормально подъезд, провести влажную уборку качественно используя необходимые моющие средства! 
82;Неубранный подъезд;На полу кровь, грязные стены, на всем этаже не мытый пол
83;Неубранный подъезд;При выходе на общий балкон из подъезда!!!!! А стена испачкана- при входе на нашу площадку!
84;Неубранный подъезд;Не моют полы, грязь
85;Сломанные почтовые ящики;Не ровно установленны почтовые ящики, прошу привести почтовые ящики в нормальное (ровное) положение.
86;Несанкционированные объявления, надписи и рисунки на фасадах;
87;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;Отсутствует горячая вода в одном из двух стояков.
88;Повреждение электропроводки/щитового оборудования;Погнута дверца слаботочного щита напротив лифта, прошу привести все в нормальное состояние.
89;Неисправность элементов освещения;Добрый день. На втором и четвертом этажах перегорели лампочки.
90;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Поврежденные водостоки!шоссе Энтузиастов д.24/43 
91;Некачественный текущий ремонт;Из в стену вмонтирован неизвестный крепеж, прошу его демонтировать, зашпатлевать отверстие и покрасить.
92;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Отсутствует или разрушено заполнение шва между жб элементами здания на переходных лоджиях
93;Неисправность элементов освещения;Не работает светильник на первом этаже
94;Неисправность элементов освещения;Больше недели, не работает освещение над почтовыми ящиками. 
95;Неисправность элементов освещения;Отсутствует рассеиватель светильника
96;Несанкционированные объявления, надписи и рисунки на фасадах;
97;Некачественное содержание/неисправность лифта;Объявления в лифтах
98;Неисправность/повреждение входной двери/домофона;Это уже далеко не первая заявка. 1. Доводчик не работает. 2. Узкая часть двери шатается и при закрытии или открытии раздаётся грохот по всему подъезду. 3. Электромагнитый замок установлен неправильно и не отрегулирован, срабатывает через раз, а если и срабатывает, то чтобы открыть дверь приходится наваливаться всем телом. Сейчас не работает. 
99;Неубранный подъезд;Грязь и мусор 
100;Неубранный подъезд;
101;Повреждение электропроводки/щитового оборудования;Открыт электрический щиток на лестничной клетке 7 этажа
102;Неисправность/повреждение пандуса;Пандус не соответсвует санитарным нормам по углу наклона и параметрам профилей.
103;Некачественный текущий ремонт;Прошу произвести ремонт подъезда номер 1.
104;Некачественное содержание мусоропровода;Просьба отремонтировать загрузочный клапан мусоропровода на 1 этаже. Плохо закрывается, не плотно прилегает, из-за чего стоит неприятный запах.
105;Неубранный подъезд;На первом этаже куча бумажек под почтовыми ящиками, пакеты с мусором. Просьба разобраться
106;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;"Было плановое отключение горячей воды с 14.08.2020; 14-00 по 21.08.20; 14-00. В указанные сроки воду не дали. Были оставлены несколько заявок в ЕДЦ и сделан звонок в управу и МОЭК. МОЭК утверждает, что аварии нет, Гбу Жилищник, что авария, но в управу Жилищник сообщил о воздушной пробке. Воды нет только в 3 подъезде. Проблему никто не решил."
107;Повреждение электропроводки/щитового оборудования;Обгоревшие электрощиты на 1 этаже, после возгорания. В начале лета, после заливания произошло возгорание и взрыв электрощитов на 1 этаже. Они до сих пор не поменяны.
108;Поврежденные окна;В оконной раме невозможно открыть левые створки. Нет ручек, петли неисправны.
109;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Добрый день! Произошла разгерметизация межпанельного шва. Прошу устранить проблему. В квартире дует и во время дождя водой заливает 
110;Поврежденный козырек подъезда;Отваливается штукатурка над входом в подъезд со стороны двора
111;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Ужасное состояние стены. Нужна покраска.
112;Сломанные почтовые ящики;Прошу отремонтировать общий замок (для почтальона), открывающий секцию почтовых ящиков с 97 по 100 квартиры на 17 этаже
113;Неубранный подъезд;В подъезде не убирают уже больше месяца. Полы первого и второго этажа грязные! Лифты грязные! Полная антисанитария во время сложной эпидемиологической обстановке в мире!
114;Несанкционированные объявления, надписи и рисунки на фасадах;
115;Несанкционированные объявления, надписи и рисунки на фасадах;На входе в подъезд есть доска объявлений, но ГБУ ЖИЛИЩНИК её будто не замечают. Они клеят объявления на двери. Отодрать такие объявления без следа невозможно. В Москве действует кодекс об административных правонарушениях, статья 8.13 которого запрещает размещать объявления и иные информационные материалы вне специально отведенных для этого мест.
116;Неисправность элементов освещения;Не работает лампочка под козырьком подъезда. 
117;Незаконное проживание мигрантов в местах общего пользования многоквартирного дома;Пожалуйста, проверьте техническое помещение с сорванной опечаткой сбоку первого подъезда. Спасибо
118;Неисправность/повреждение входной двери/домофона;Домофон не держит замок, сварка не помогает, дверная коробка подлежит ПОЛНОЙ замене. Я писал об этом ранее, приехали, заварили, месяц продержалось...
119;Некачественное содержание мусоропровода;Здравствуйте. Между 1 и 2, 3 и 4 этажами заплатки, которые установлены были не так давно, отвалилась. 
120;Повреждение электропроводки/щитового оборудования;Не закрыты кабели и проводка на 1 и 9 этажах
121;Неубранный подъезд;Все этажи грязные. Всю неделю не убирают.
122;Неисправность элементов освещения;Перегорел светильник на 7 этаже.
123;Несанкционированные объявления, надписи и рисунки на фасадах;
124;Неубранный подъезд;
125;Ненадлежащее выполнение работ по капитальному ремонту в доме;Замена лифта была начата в апреле 2020 и до сих пор не завершена. Лифт не работает более 5 месяцев. При установке обрамления лифта на 7 этаже, не учтена возможность закрытия двери. 
126;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Доброго времени суток. Такая картина в нашем подъезде уже не первый год. УК не реагирует на жалобы. Хотелось бы,чтобы исправили эти нюансы на этажах. Начиная с пятого этажа до первого подъезд в таком состоянии и никто не хочет ничего ремонтировать.
127;Неисправность систем пожаробезопасности;После замены пожарного шкафа в рамках кап.ремонта, в шкафу отсутствует пожарный шланг, дверцы шкафа болтаются на одном ,, гвозде,,. Прошу привести в порядок противопожарный шкаф и вернуть всю,начинку, шкафа. Она раньше была....
128;Некачественное содержание/неисправность лифта;Не работает освещение в грузовом лифте.
129;Поврежденные лестницы;повреждение лестницы входного крыльца
130;Неисправность/повреждение пандуса;пандус в ненадлежащем состоянии
131;Неубранный подъезд;Добрый день! Неубранный подъезд, везде грязь !!!
132;Неисправность элементов освещения;Сломан плафон, одна лампа висит и та перегорела. Просьба заменить плафон и вставить новую лампочку
133;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;В доме повторно отключена горячая вода с 21 по 31 августа, несмотря на проведённое плановое отключение с 13 по 23 июля. В ЕИРЦ и на портале mos.ru об отключении информации нет!
134;Протечка в подъезде;Из-за повреждений крыши и фасада по адресу Кутузовский проспект, д26, корпус 3, подъезд 18, образовались протечки в квартире и появилась плесень. Первая протечка была зафиксирована в феврале 2019 год, последняя протечка зафиксирована в акте в июле этого года. Вода течет мимо водостока. Необходим срочный локальный ремонт фасада, крыши, водостока. 
135;Некачественное содержание/неисправность лифта;Сломали кнопку вызова лифта
136;Несанкционированные объявления, надписи и рисунки на фасадах;
137;Неубранный подъезд;Стены грязные
138;Неисправность элементов освещения;На первом этаже нет света!
139;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Повреждена плитка около входа в лифт
140;Неубранный подъезд;Дорогой Жилищник, месяц стоит этот хлам в подъезде, повлияйте на подрядчика, по замене лифтов, пусть уберет из подъезда демонтированное оборудование. Это травмоопасно. Пора обращаться в оати, подрядчик не успевает по срокам замены лифтов, уже 2 недели никаких работ в нашем подъезде не ведется. Дорогой Жилищник, постараюсь Вам помочь навести порядок
141;Неисправность/повреждение пандуса;Прекрасно что заботятся о малоподвижных гражданах и ставят платформы, но есть ещё мамы с колясками. Мало того что пандус в разложенном состоянии не доходит до пола, приходится запрыгивать коляской на одну ступеньку, весь перемотан скотчем, гремит, болтается. Теперь он просто примотан и надо выходить гулять с ножом и новой веревкой. Издевательство.
142;Несанкционированные объявления, надписи и рисунки в подъезде;
143;Несоблюдение плановых сроков подключения/отключения горячего водоснабжения;С 3 по 13 августа в нашем доме отключали горячую воду на мос.ру данная инфо была. Так же была и в других источниках интернета есть прин скрин. Без предупреждения и обьявление отключили воду еще на 10 дней с 17 по 27 августа. На каком основании это раз. Второе это не возможно 20 дней за месяц без горячей воды. Третье кто за это будет отвечать.
144;Некачественный текущий ремонт;Плохо покрасили
145;Неубранный подъезд;Добрый день. Захламлена лестничная клетка долгое время. 
146;Повреждение элементов: продухи, отмостки, фундамент, пол, потолок, стены, водостоки;Штукатурка стен дома потрескалась и отваливается, пришла от времени в полную негодность, просматривается даже до кирпича, появилась зеленая плесень. Стыдно иметь в столице такой неухоженный дом. Стены дома требуют надлежащего ремонта. Справочно: реновация дома запланирована на 3 этап (2029-2032 гг), до которого еще очень далеко.
147;Отсутствие/повреждение указателей с наименованием улицы и номером дома;Указатель ржавый с гнутыми краями на д.6 к.2 по ул. Жигулёвской. Требую отремонтировать повреждения короба или осуществить замену! См. Фотофиксацию. О.
148;Неисправность элементов освещения;Просьба поменять лампочку
149;Неубранный подъезд;На всех этажах подъезда необходимо вымыть пол, протереть перила. На первом этаже собрать мусор.
150;Повреждение электропроводки/щитового оборудования;2 подъезд 1 этаж открыта раздаточная коробка на п/л. о. 
151;Неисправность элементов освещения;Не работает лампа освещения
152;Некачественное содержание/неисправность лифта;Была заявка в УК на грязные стены в лифте. Потеряли тряпочкой заявив, чтт нужно красить. На самом деле все отмывается даже влажной салфеткой. Нужно произвести уборку с чистящим средством и всё отмоется. Безобразная уборка уборщиц!!!!
153;Неисправность/повреждение входной двери/домофона;Магнит болтается на креплении и поворачивается, поэтому магнит не держит дверь. Прошу закрепить ровно магнит
154;Неубранный подъезд;Во всех лампах грязь, из-за этого плохое освещение 
155;Неисправность элементов освещения;добрый день! между 2 и 3 этажами не работает освещение в подъезде 
156;Неисправность элементов освещения;Не работает на 10 этаже 4 лампочки
157;Повреждение электропроводки/щитового оборудования;Повреждена распределительная коробка
